hit_rate: 0.268398268398
detections_dat: classifiers/scheme_8/detections.dat
info_dat: scripts/info.dat
img: n02799071_9439.jpg , tp:   2.00, fp:  80.00, tp%: 0.02
img: n02802426_12647.jpg, tp:   0.00, fp:  23.00, tp%: 0.00
img: n03267113_1098.jpg , tp:   1.00, fp:  58.00, tp%: 0.02
img: n03721047_9665.jpg , tp:   0.00, fp:  76.00, tp%: 0.00
img: n04409515_21754.jpg, tp:   2.00, fp:  43.00, tp%: 0.04
img: n04409515_1623.jpg , tp:   0.00, fp:  79.00, tp%: 0.00
img: n02802426_12389.jpg, tp:   1.00, fp:  74.00, tp%: 0.01
img: n03982232_1352.jpg , tp:   1.00, fp:  49.00, tp%: 0.02
img: n03267113_4647.jpg , tp:   1.00, fp:  22.00, tp%: 0.04
img: n04540053_8002.jpg , tp:   0.00, fp:  38.00, tp%: 0.00
img: n03721047_8993.jpg , tp:   1.00, fp:  69.00, tp%: 0.01
img: n04540053_12074.jpg, tp:   0.00, fp:  52.00, tp%: 0.00
img: n02802426_6315.jpg , tp:   0.00, fp:  75.00, tp%: 0.00
img: n02802426_4129.jpg , tp:   1.00, fp: 102.00, tp%: 0.01
img: n03267113_441.jpg  , tp:   0.00, fp:  56.00, tp%: 0.00
img: n04409515_1712.jpg , tp:   0.00, fp:   8.00, tp%: 0.00
img: n03982232_329.jpg  , tp:   0.00, fp:  68.00, tp%: 0.00
img: n02802426_8721.jpg , tp:   0.00, fp:  63.00, tp%: 0.00
img: n03721047_4085.jpg , tp:   0.00, fp:  45.00, tp%: 0.00
img: n03982232_4583.jpg , tp:   0.00, fp:  44.00, tp%: 0.00
img: n04540053_6759.jpg , tp:   0.00, fp:  87.00, tp%: 0.00
img: n04409515_1768.jpg , tp:   0.00, fp: 111.00, tp%: 0.00
img: n03267113_2761.jpg , tp:   0.00, fp:  22.00, tp%: 0.00
img: n03134739_2615.jpg , tp:   0.00, fp:  11.00, tp%: 0.00
img: n03982232_1744.jpg , tp:   0.00, fp:  42.00, tp%: 0.00
img: n03145719_7595.jpg , tp:   1.00, fp:  76.00, tp%: 0.01
img: n03134739_7079.jpg , tp:   0.00, fp:  51.00, tp%: 0.00
img: n03145719_1357.jpg , tp:   0.00, fp:  39.00, tp%: 0.00
img: n04540053_11814.jpg, tp:   1.00, fp:  57.00, tp%: 0.02
img: n04540053_2866.jpg , tp:   0.00, fp:  77.00, tp%: 0.00
img: n03982232_2212.jpg , tp:   0.00, fp:  38.00, tp%: 0.00
